No Perolehan,ISBN,Title,Author,Publisher,Year,Pages,Price,Language,Type,Dewey,Initial,Quantity,,
00150,9780545552547,Lincoln's Grave Robbers,Steve Sheinkin,Scholastic,2012,214,Dihadiahkan,English,F,FE,STE,5,,
00151,9780545552547,Lincoln's Grave Robbers,Steve Sheinkin,Scholastic,2012,214,Dihadiahkan,English,F,FE,STE,5,,
00152,9781447231486,Scavenger Zoid,"Paul Stewart, Chris Riddell",Macmillan Children's Books,2014,259,Dihadiahkan,English,F,FE,MAC,1,,
00153,9789673179220,Tipu Helah Budak Penggembala dan Anjing Yang Tamak,Kohwai Dan Young,Kohwai Dan Young,2013,16,2.90,Malay,F,FM,KAY,3,,
00154,9781338140262,Thea Stilton Mouseford Academy: Mice Take The Stage,Thea Stilton,Scholastic,2016,113,24.90,English,F,FE,THE,1,,
00155,9781338052824,"Thea Stilton Mouseford Academy: Lights, Camera,Action!",Thea Stilton,Scholastic,2018,111,24.90,English,F,FE,THE,1,,
00156,9789675381577,Perkara yang Kecil tetapi Amat Bermakna ,Zheng Chunhua,Green Fiction Publishing,2019,105,Dihadiahkan,Malay,F,FM,ZHE,5,,
00157,9789812291783,Dragon Tales China's History from Tang to Qing,Lin Shan,Asiapac Books,2001,218,Dihadiahkan,English,F,FE,SHA,6,,
00158,9789812291783,Dragon Tales China's History from Tang to Qing,Lin Shan,Asiapac Books,2001,218,Dihadiahkan,English,F,FE,SHA,6,,
00159,9789812291783,Dragon Tales China's History from Tang to Qing,Lin Shan,Asiapac Books,2001,218,Dihadiahkan,English,F,FE,SHA,6,,
00160,9789673179237,Kisah Arnab Yang Angkuh Dan Kisah Sang Merpati Dan Semut,Kohwai Dan Young,Kohwai Dan Young,2013,16,2.90,Malay,F,FM,KAY,3,,
00161,9789675154478,A Tale Of Two Cities,Charles Dickens,Indiana Publishing House,2009,237,22.53,English,F,FE,CHA,1,,
00162,9780710502186,The Swiss Family Robinson,Johann Wyss,Peter Haddock Ltd,2005,304,Dihadiahkan,English,F,FE,JOH,1,,
